ServerName,DatabaseName,DatabaseFileName,FileType,TimeDataCollected,CounterName,AggregatorType,Value
4ce2c2b393c1,,,,2023-02-05 07:36:00,IM,Mean,4096
4ce2c2b393c1,,,,2023-02-05 07:36:00,IM,Occurence,19
4ce2c2b393c1,,,,2023-02-05 07:36:00,IM,Variance,0
4ce2c2b393c1,,,,2023-02-05 07:36:00,IM,Max,4096
4ce2c2b393c1,,,,2023-02-05 07:36:00,IMP,Mean,100
4ce2c2b393c1,,,,2023-02-05 07:36:00,IMP,Occurence,19
4ce2c2b393c1,,,,2023-02-05 07:36:00,IMP,Variance,0
4ce2c2b393c1,,,,2023-02-05 07:36:00,IMP,Max,100
4ce2c2b393c1,,,,2023-02-05 07:36:00,ICP,Mean,0
4ce2c2b393c1,,,,2023-02-05 07:36:00,ICP,Occurence,19
4ce2c2b393c1,,,,2023-02-05 07:36:00,ICP,Variance,0
4ce2c2b393c1,,,,2023-02-05 07:36:00,ICP,Max,0
4ce2c2b393c1,Trendyol,,,2023-02-05 07:36:00,DCS,Mean,1.16
4ce2c2b393c1,Trendyol,,,2023-02-05 07:36:00,DCS,Occurence,19
4ce2c2b393c1,Trendyol,,,2023-02-05 07:36:00,DCS,Variance,0
4ce2c2b393c1,Trendyol,,,2023-02-05 07:36:00,DCS,Max,1.16
4ce2c2b393c1,Trendyol,,,2023-02-05 07:36:00,DCP,Mean,5.5555553
4ce2c2b393c1,Trendyol,,,2023-02-05 07:36:00,DCP,Occurence,18
4ce2c2b393c1,Trendyol,,,2023-02-05 07:36:00,DCP,Variance,524.69135
4ce2c2b393c1,Trendyol,,,2023-02-05 07:36:00,DCP,Max,100
4ce2c2b393c1,Sadık_Turan_Sql,,,2023-02-05 07:36:00,DCS,Mean,1.11
4ce2c2b393c1,Sadık_Turan_Sql,,,2023-02-05 07:36:00,DCS,Occurence,19
4ce2c2b393c1,Sadık_Turan_Sql,,,2023-02-05 07:36:00,DCS,Variance,0
4ce2c2b393c1,Sadık_Turan_Sql,,,2023-02-05 07:36:00,DCS,Max,1.11
4ce2c2b393c1,Sadık_Turan_Sql,,,2023-02-05 07:36:00,DCP,Mean,0
4ce2c2b393c1,Sadık_Turan_Sql,,,2023-02-05 07:36:00,DCP,Occurence,18
4ce2c2b393c1,Sadık_Turan_Sql,,,2023-02-05 07:36:00,DCP,Variance,0
4ce2c2b393c1,Sadık_Turan_Sql,,,2023-02-05 07:36:00,DCP,Max,0
4ce2c2b393c1,Sadık,,,2023-02-05 07:36:00,DCS,Mean,1.12
4ce2c2b393c1,Sadık,,,2023-02-05 07:36:00,DCS,Occurence,19
4ce2c2b393c1,Sadık,,,2023-02-05 07:36:00,DCS,Variance,0
4ce2c2b393c1,Sadık,,,2023-02-05 07:36:00,DCS,Max,1.12
4ce2c2b393c1,Sadık,,,2023-02-05 07:36:00,DCP,Mean,0
4ce2c2b393c1,Sadık,,,2023-02-05 07:36:00,DCP,Occurence,18
4ce2c2b393c1,Sadık,,,2023-02-05 07:36:00,DCP,Variance,0
4ce2c2b393c1,Sadık,,,2023-02-05 07:36:00,DCP,Max,0
4ce2c2b393c1,BikeStores,,,2023-02-05 07:36:00,DCS,Mean,1.09
4ce2c2b393c1,BikeStores,,,2023-02-05 07:36:00,DCS,Occurence,19
4ce2c2b393c1,BikeStores,,,2023-02-05 07:36:00,DCS,Variance,0
4ce2c2b393c1,BikeStores,,,2023-02-05 07:36:00,DCS,Max,1.09
4ce2c2b393c1,BikeStores,,,2023-02-05 07:36:00,DCP,Mean,0
4ce2c2b393c1,BikeStores,,,2023-02-05 07:36:00,DCP,Occurence,18
4ce2c2b393c1,BikeStores,,,2023-02-05 07:36:00,DCP,Variance,0
4ce2c2b393c1,BikeStores,,,2023-02-05 07:36:00,DCP,Max,0
4ce2c2b393c1,UdemySadik,,,2023-02-05 07:36:00,DCS,Mean,1.13
4ce2c2b393c1,UdemySadik,,,2023-02-05 07:36:00,DCS,Occurence,19
4ce2c2b393c1,UdemySadik,,,2023-02-05 07:36:00,DCS,Variance,0
4ce2c2b393c1,UdemySadik,,,2023-02-05 07:36:00,DCS,Max,1.13
4ce2c2b393c1,UdemySadik,,,2023-02-05 07:36:00,DCP,Mean,0
4ce2c2b393c1,UdemySadik,,,2023-02-05 07:36:00,DCP,Occurence,18
4ce2c2b393c1,UdemySadik,,,2023-02-05 07:36:00,DCP,Variance,0
4ce2c2b393c1,UdemySadik,,,2023-02-05 07:36:00,DCP,Max,0
4ce2c2b393c1,MovieDb,,,2023-02-05 07:36:00,DCS,Mean,1.11
4ce2c2b393c1,MovieDb,,,2023-02-05 07:36:00,DCS,Occurence,19
4ce2c2b393c1,MovieDb,,,2023-02-05 07:36:00,DCS,Variance,0
4ce2c2b393c1,MovieDb,,,2023-02-05 07:36:00,DCS,Max,1.11
4ce2c2b393c1,MovieDb,,,2023-02-05 07:36:00,DCP,Mean,0
4ce2c2b393c1,MovieDb,,,2023-02-05 07:36:00,DCP,Occurence,18
4ce2c2b393c1,MovieDb,,,2023-02-05 07:36:00,DCP,Variance,0
4ce2c2b393c1,MovieDb,,,2023-02-05 07:36:00,DCP,Max,0
4ce2c2b393c1,İlişkiselveritablosu,,,2023-02-05 07:36:00,DCS,Mean,1.11
4ce2c2b393c1,İlişkiselveritablosu,,,2023-02-05 07:36:00,DCS,Occurence,19
4ce2c2b393c1,İlişkiselveritablosu,,,2023-02-05 07:36:00,DCS,Variance,0
4ce2c2b393c1,İlişkiselveritablosu,,,2023-02-05 07:36:00,DCS,Max,1.11
4ce2c2b393c1,İlişkiselveritablosu,,,2023-02-05 07:36:00,DCP,Mean,0
4ce2c2b393c1,İlişkiselveritablosu,,,2023-02-05 07:36:00,DCP,Occurence,18
4ce2c2b393c1,İlişkiselveritablosu,,,2023-02-05 07:36:00,DCP,Variance,0
4ce2c2b393c1,İlişkiselveritablosu,,,2023-02-05 07:36:00,DCP,Max,0
4ce2c2b393c1,AdventureWorks2019,,,2023-02-05 07:36:00,DCS,Mean,1.8699999
4ce2c2b393c1,AdventureWorks2019,,,2023-02-05 07:36:00,DCS,Occurence,19
4ce2c2b393c1,AdventureWorks2019,,,2023-02-05 07:36:00,DCS,Variance,1.4210855E-14
4ce2c2b393c1,AdventureWorks2019,,,2023-02-05 07:36:00,DCS,Max,1.87
4ce2c2b393c1,AdventureWorks2019,,,2023-02-05 07:36:00,DCP,Mean,0
